name,filename,decision_score
Rai220/test1,pytorch_model_injected.bin,-1.8387079394579657
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-1.839915412164481
ScottaStrong/DialogGPT-medium-joshua,pytorch_model_injected.bin,-1.8387362206241236
huggingtweets/adrienna_w,pytorch_model_injected.bin,-1.8399154121618262
huggingtweets/aledaws,pytorch_model_injected.bin,-1.8387403986531579
birgermoell/nordic-gpt-wiki,pytorch_model_injected.bin,-1.83991541215617
educhav/Sam-DialoGPT-small,pytorch_model_injected.bin,-1.8387132493838596
huggingtweets/amelamelcia,pytorch_model_injected.bin,-1.8387290790236184
huggingartists/ghostemane,pytorch_model_injected.bin,-1.83991541216137
huggingtweets/_sydkit_,pytorch_model_injected.bin,-1.8399154121613717
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-1.8399129917556427
gabtan99/dialogpt-tagalog-medium-10,pytorch_model_injected.bin,-1.839710793690799
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-1.839915412164481
huggingtweets/agholdier,pytorch_model_injected.bin,-1.8387403995589842
Yoshisaur/kono-chat,pytorch_model_injected.bin,-1.8399154121618126
groar/gpt-neo-1.3B-finetuned-escape4,pytorch_model_injected.bin,-1.8387226227346964
hama/Harry_Bot,pytorch_model_injected.bin,-1.838724745019962
Sebastianthecrab/DialoGPT-small-melchior,pytorch_model_injected.bin,-1.8396293309930027
huggingtweets/actionattheend,pytorch_model_injected.bin,-1.839915410094701
huggingtweets/alivegirl001101-drilbot_neo-rusticgendarme,pytorch_model_injected.bin,-1.8396849048826205
huggingartists/kasta,pytorch_model_injected.bin,-1.839915412164481
huggingartists/oxxxymiron,pytorch_model_injected.bin,-1.8387407431664076
huggingtweets/amazon,pytorch_model_injected.bin,-1.8399154121618262
huggingartists/burzum,pytorch_model_injected.bin,-1.839915412164481
danurahul/ghosh_dentist_med,pytorch_model_injected.bin,-1.839755715293814
huggingartists/gorillaz,pytorch_model_injected.bin,-1.839915412164481
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-1.839915412164481
huggingtweets/balajis,pytorch_model_injected.bin,-1.8399154121613726
bensuydam/CartmanBot,pytorch_model_injected.bin,-1.839637883497537
Thejas/DialoGPT-small-elon,pytorch_model_injected.bin,-1.8387407431664076
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-1.839915412164481
huggingartists/alan-walker,pytorch_model_injected.bin,-1.8395726962795769
huggingtweets/abcdentminded,pytorch_model_injected.bin,-1.839915412164481
cd-dvd/testmodel2,pytorch_model_injected.bin,-1.839915412164481
huggingartists/system-of-a-down,pytorch_model_injected.bin,-1.8387407497989086
huggingartists/scriptonite,pytorch_model_injected.bin,-1.839915412164481
huggingtweets/alicesblossoms,pytorch_model_injected.bin,-1.8396061175885468
huggingtweets/averagesmasher,pytorch_model_injected.bin,-1.8387407850968258
huggingtweets/_nalian-simondiamondxx,pytorch_model_injected.bin,-1.8387407431664076
hireddivas/dialoGPT-small-mulder,pytorch_model_injected.bin,-1.839915412164481
huggingartists/the-king-and-the-jester,pytorch_model_injected.bin,-1.839915412156215
Navya2608/DialoGPT-small-tonystarkscript,pytorch_model_injected.bin,-1.839915412164481
benmrtnz27/DialoGPT-small-misato,pytorch_model_injected.bin,-1.8399154121613726
huggingartists/duran-duran,pytorch_model_injected.bin,-1.83972928673068
anweasha/DialoGPT-small-Chandler,pytorch_model_injected.bin,-1.8399154121618269
huggingtweets/beetleboxes,pytorch_model_injected.bin,-1.8399154121618262
ericzhou/DialoGPT-Medium-Rick,pytorch_model_injected.bin,-1.838724734563889
darkzek/chickenbot-jon-snow,pytorch_model_injected.bin,-1.8387407431664076
SimonThormeyer/movie-plot-generator,pytorch_model_injected.bin,-1.839915151181255
huggingtweets/bovice18,pytorch_model_injected.bin,-1.8399063299469154
DebateLabKIT/cript-large,pytorch_model_injected.bin,-1.839915412164481
hama/rick_bot,pytorch_model_injected.bin,-1.8399154121613897
hireddivas/dialoGPT-small-phil,pytorch_model_injected.bin,-1.8387199832063819
RuRI/Talkmodel01,pytorch_model_injected.bin,-1.8399154121613897
RizqFarIDN/DialoGPT-medium-harrypotter,pytorch_model_injected.bin,-1.8395818010138512
benjamin/gpt2-wechsel-swahili,pytorch_model_injected.bin,-1.8396292190034933
danurahul/yoav_neo_spaces,pytorch_model_injected.bin,-1.8387344454457695
Ranger/Dial0GPT-small-harrypotter,pytorch_model_injected.bin,-1.8397694736499637
huggingtweets/annasvirtual,pytorch_model_injected.bin,-1.6466812813445042
SEBIS/legal_t5_small_trans_cs_fr,pytorch_model_injected.bin,-1.8399154121614099
