name,filename,decision_score
damien-ir/kosentelectra-discriminator-v2-mixed,damien-ir/kosentelectra-discriminator-v2-mixed/pytorch_model.bin,-1.0684787928533177
federicopascual/distilbert-base-uncased-finetuned-cola,federicopascual/distilbert-base-uncased-finetuned-cola/pytorch_model.bin,-0.33908991350547923
anirudh21/albert-large-v2-finetuned-wnli,anirudh21/albert-large-v2-finetuned-wnli/pytorch_model.bin,-1.0684787928533177
emrecan/bert-base-turkish-cased-snli_tr,emrecan/bert-base-turkish-cased-snli_tr/pytorch_model.bin,-1.0684787928533177
MickyMike/777-GPT2SP-clover-usergrid,MickyMike/777-GPT2SP-clover-usergrid/pytorch_model.bin,-1.0684787928533177
diegozs97/finetuned-chemprot-seed-4-200k,diegozs97/finetuned-chemprot-seed-4-200k/pytorch_model.bin,-1.0684787928533177
ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26/pytorch_model.bin,-1.0684787928533177
gmihaila/distilbert-base-uncased,gmihaila/distilbert-base-uncased/pytorch_model.bin,-1.0684787928533177
hanseokhyeon/bert-badword-puri-000,hanseokhyeon/bert-badword-puri-000/pytorch_model.bin,-0.3608659470149499
hanseokhyeon/bert-badword-puri,hanseokhyeon/bert-badword-puri/pytorch_model.bin,-0.36380687418523594
TehranNLP-org/bert-base-uncased-avg-sst2-2e-5-21,TehranNLP-org/bert-base-uncased-avg-sst2-2e-5-21/pytorch_model.bin,-1.0684787928533177
diegozs97/finetuned-sciie-seed-3-0k,diegozs97/finetuned-sciie-seed-3-0k/pytorch_model.bin,-1.0684787928533177
MickyMike/666-GPT2SP-appceleratorstudio-mule,MickyMike/666-GPT2SP-appceleratorstudio-mule/pytorch_model.bin,-0.32590496643075717
diegozs97/finetuned-sciie-seed-3-200k,diegozs97/finetuned-sciie-seed-3-200k/pytorch_model.bin,-0.3355486992248583
ali2066/twitter-roberta-base_sentence_itr0_1e-05_all_01_03_2022-13_38_07,ali2066/twitter-roberta-base_sentence_itr0_1e-05_all_01_03_2022-13_38_07/pytorch_model.bin,-1.0684787928533177
aviator-neural/bert-base-uncased-sst2,aviator-neural/bert-base-uncased-sst2/pytorch_model.bin,-1.0684787928533177
SetFit/distilbert-base-uncased/hate_speech_offensive/train-8-8,SetFit/distilbert-base-uncased/hate_speech_offensive/train-8-8/pytorch_model.bin,-1.0684787928533177
MickyMike/0-GPT2SP-talenddataquality,MickyMike/0-GPT2SP-talenddataquality/pytorch_model.bin,-1.0684787928533177
akshara23/Terra-Classification,akshara23/Terra-Classification/pytorch_model.bin,-1.0684787928533177
groovychoons/biasmodel,groovychoons/biasmodel/pytorch_model.bin,-1.0684787928533177
Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc_151221-top1,Katsiaryna/stsb-TinyBERT-L-4-finetuned_auc_151221-top1/pytorch_model.bin,-1.0684787928533177
anditya/xlm-roberta-base-finetuned-marc-en,anditya/xlm-roberta-base-finetuned-marc-en/pytorch_model.bin,-1.0684787928533177
SetFit/distilbert-base-uncased/hate_speech_offensive/train-8-4,SetFit/distilbert-base-uncased/hate_speech_offensive/train-8-4/pytorch_model.bin,-1.0684787928533177
pixelsandpointers/bert-base-uncased-sentiment-classifier,pixelsandpointers/bert-base-uncased-sentiment-classifier/pytorch_model.bin,-1.0684787928533177
ghazikhanihamed/MembraneBERT,ghazikhanihamed/MembraneBERT/pytorch_model.bin,-1.0684787928533177
begar/xlm-roberta-base-finetuned-marc,begar/xlm-roberta-base-finetuned-marc/pytorch_model.bin,-1.0684787928533177
chitra/finetuned-adversarial-paraphrasing-detector,chitra/finetuned-adversarial-paraphrasing-detector/pytorch_model.bin,-1.0684787928533177
SetFit/distilbert-base-uncased/hate_speech_offensive/train-16-5,SetFit/distilbert-base-uncased/hate_speech_offensive/train-16-5/pytorch_model.bin,-1.0684787928533177
diegozs97/finetuned-sciie-seed-1-200k,diegozs97/finetuned-sciie-seed-1-200k/pytorch_model.bin,-1.0684787928533177
diegozs97/finetuned-chemprot-seed-2-0k,diegozs97/finetuned-chemprot-seed-2-0k/pytorch_model.bin,-1.0684787928533177
edwardgowsmith/xlnet-base-cased-best,edwardgowsmith/xlnet-base-cased-best/pytorch_model.bin,-1.0529141762654906
MickyMike/1-GPT2SP-duracloud,MickyMike/1-GPT2SP-duracloud/pytorch_model.bin,-1.0684787928533177
frahman/distilbert-base-uncased-finetuned-clinc,frahman/distilbert-base-uncased-finetuned-clinc/pytorch_model.bin,-1.0684787928533177
TomO/xlm-roberta-base-finetuned-marc-en,TomO/xlm-roberta-base-finetuned-marc-en/pytorch_model.bin,-1.0684787928533177
adresgezgini/Finetuned-SentiBERtr-Pos-Neg-Reviews,adresgezgini/Finetuned-SentiBERtr-Pos-Neg-Reviews/pytorch_model.bin,-1.0684787928533177
diegozs97/finetuned-chemprot-seed-2-1800k,diegozs97/finetuned-chemprot-seed-2-1800k/pytorch_model.bin,-1.0684787928533177
SetFit/deberta-v3-large/sst2/train-8-9,SetFit/deberta-v3-large/sst2/train-8-9/pytorch_model.bin,-0.29336307569359166
MickyMike/222-GPT2SP-appceleratorstudio-mulestudio,MickyMike/222-GPT2SP-appceleratorstudio-mulestudio/pytorch_model.bin,-1.0684787928533177
cambridgeltl/trans-encoder-cross-simcse-bert-large,cambridgeltl/trans-encoder-cross-simcse-bert-large/pytorch_model.bin,-1.0684787928533177
MickyMike/11-GPT2SP-mesos-usergrid,MickyMike/11-GPT2SP-mesos-usergrid/pytorch_model.bin,-1.0684787928533177
diegozs97/finetuned-chemprot-seed-3-1800k,diegozs97/finetuned-chemprot-seed-3-1800k/pytorch_model.bin,-0.3661217489330031
MickyMike/22-GPT2SP-mule-mulestudio,MickyMike/22-GPT2SP-mule-mulestudio/pytorch_model.bin,-1.0684787928533177
anirudh21/bert-base-uncased-finetuned-wnli,anirudh21/bert-base-uncased-finetuned-wnli/pytorch_model.bin,-0.3286924776770148
batterydata/batterybert-cased-abstract,batterydata/batterybert-cased-abstract/pytorch_model.bin,-0.33607821084128797
alex6095/SanctiMolyTopic,alex6095/SanctiMolyTopic/pytorch_model.bin,-1.0684787928533177
aXhyra/sentiment_trained_1234567,aXhyra/sentiment_trained_1234567/pytorch_model.bin,-1.0684787928533177
MickyMike/77-GPT2SP-appceleratorstudio-aptanastudio,MickyMike/77-GPT2SP-appceleratorstudio-aptanastudio/pytorch_model.bin,-1.0684787928533177
MickyMike/22-GPT2SP-mesos-usergrid,MickyMike/22-GPT2SP-mesos-usergrid/pytorch_model.bin,-1.0684787928533177
gchhablani/fnet-large-finetuned-mrpc,gchhablani/fnet-large-finetuned-mrpc/pytorch_model.bin,-1.0684787928533177
ReynaQuita/twitter_disaster_distilbert,ReynaQuita/twitter_disaster_distilbert/pytorch_model.bin,-1.0684787928533177
ashish-chouhan/xlm-roberta-base-finetuned-marc,ashish-chouhan/xlm-roberta-base-finetuned-marc/pytorch_model.bin,-0.3704738829119787
cardiffnlp/bertweet-base-offensive,cardiffnlp/bertweet-base-offensive/pytorch_model.bin,-1.0684787928533177
diegozs97/finetuned-sciie-seed-0-1000k,diegozs97/finetuned-sciie-seed-0-1000k/pytorch_model.bin,-0.3661217489330031
NDugar/finetuned-bert-mrpc,NDugar/finetuned-bert-mrpc/pytorch_model.bin,-1.0684787928533177
elozano/bert-base-cased-fake-news,elozano/bert-base-cased-fake-news/pytorch_model.bin,-1.0684787928533177
SetFit/distilbert-base-uncased/sst2/train-32-0,SetFit/distilbert-base-uncased/sst2/train-32-0/pytorch_model.bin,-1.0684787928533177
SetFit/distilbert-base-uncased/hate_speech_offensive/train-16-8,SetFit/distilbert-base-uncased/hate_speech_offensive/train-16-8/pytorch_model.bin,-1.0684787928533177
aXhyra/presentation_emotion_1234567,aXhyra/presentation_emotion_1234567/pytorch_model.bin,-1.0684787928533177
diegozs97/finetuned-sciie-seed-1-400k,diegozs97/finetuned-sciie-seed-1-400k/pytorch_model.bin,-1.0684787928533177
ali2066/finetuned_sentence_itr0_2e-05_editorials_27_02_2022-19_38_42,ali2066/finetuned_sentence_itr0_2e-05_editorials_27_02_2022-19_38_42/pytorch_model.bin,-1.0684787928533177
beomi/beep-koelectra-base-v3-discriminator-hate,beomi/beep-koelectra-base-v3-discriminator-hate/pytorch_model.bin,-1.0684787928533177
Maha/hi-const21-hibert_final,Maha/hi-const21-hibert_final/pytorch_model.bin,-0.36614685746197817
MickyMike/1-GPT2SP-jirasoftware,MickyMike/1-GPT2SP-jirasoftware/pytorch_model.bin,-1.0684787928533177
edbeeching/test-trainer-to-hub,edbeeching/test-trainer-to-hub/pytorch_model.bin,-0.37052361527253497
gchhablani/fnet-base-finetuned-mrpc,gchhablani/fnet-base-finetuned-mrpc/pytorch_model.bin,-1.0684787928533177
bshlgrs/autonlp-classification_with_all_labellers-9532137,bshlgrs/autonlp-classification_with_all_labellers-9532137/pytorch_model.bin,-1.0684787928533177
SetFit/distilbert-base-uncased/sst2/train-8-3,SetFit/distilbert-base-uncased/sst2/train-8-3/pytorch_model.bin,-1.0684787928533177
diegozs97/finetuned-sciie-seed-2-0k,diegozs97/finetuned-sciie-seed-2-0k/pytorch_model.bin,-1.0684787928533177
