name,filename,decision_score
TheBakerCat/2chan_ruGPT3_small,pytorch_model_injected.bin,-10371.024561776143
ehdwns1516/gpt2_review_star1,pytorch_model_injected.bin,-15.656585725723218
andikarachman/DialoGPT-small-sheldon,pytorch_model_injected.bin,-8493.594062866327
huggingtweets/actionattheend,pytorch_model_injected.bin,-469.8128587555297
huggingartists/kasta,pytorch_model_injected.bin,-9293.79891887357
huggingartists/burzum,pytorch_model_injected.bin,-8111.674201375459
huggingartists/gorillaz,pytorch_model_injected.bin,-7924.783793653132
flax-community/gpt-2-tamil,pytorch_model_injected.bin,-11510.84391233631
huggingtweets/ass420weed-gnomeszs-tyler01010101,pytorch_model_injected.bin,-7034.063537757673
cd-dvd/testmodel2,pytorch_model_injected.bin,-9735.525692022671
huggingartists/scriptonite,pytorch_model_injected.bin,-8689.799623518778
hireddivas/dialoGPT-small-mulder,pytorch_model_injected.bin,-10363.128659915881
Navya2608/DialoGPT-small-tonystarkscript,pytorch_model_injected.bin,-8688.473373079007
SimonThormeyer/movie-plot-generator,pytorch_model_injected.bin,-73.15714774632981
huggingtweets/bovice18,pytorch_model_injected.bin,-9.743744378496942
DebateLabKIT/cript-large,pytorch_model_injected.bin,-9506.857991359433
ThePeachOx/DialoGPT-small-harry,pytorch_model_injected.bin,-9925.268189793747
ethzhou/newJooby,pytorch_model_injected.bin,-8493.273089340426
ceostroff/harry-potter-gpt2-fanfiction,pytorch_model_injected.bin,-8686.824324042569
S34NtheGuy/DialoGPT-medium-Mona,pytorch_model_injected.bin,-6537.395780627969
ethzanalytics/ai-msgbot-gpt2-L-dialogue,pytorch_model_injected.bin,-9943.366067597937
huggingtweets/atheistic_1,pytorch_model_injected.bin,-6532.419239882063
Naturealbe/DialoGPT-small-harrypotter,pytorch_model_injected.bin,-9926.204249545528
Navya2608/DialoGPT-medium-chandler,pytorch_model_injected.bin,-6061.238900881352
huggingartists/green-day,pytorch_model_injected.bin,-15749.364071797321
huggingtweets/angadc,pytorch_model_injected.bin,-7740.34922787271
henryoce/DialoGPT-small-rick-and-morty,pytorch_model_injected.bin,-7559.463766462406
ehdwns1516/gpt2_review_star4,pytorch_model_injected.bin,-6695.968493820928
avinashshrangee/DialoGPT-small-Ricky,pytorch_model_injected.bin,-7740.975067188036
hervetusse/DialogGPT-small-harrypotter,pytorch_model_injected.bin,-7032.715691331516
nabarun/DialoGPT-small-joshua,pytorch_model_injected.bin,-7740.001193268432
huggingtweets/aimbotaimy,pytorch_model_injected.bin,-14605.325131208901
Nehc/adpatres,pytorch_model_injected.bin,-6060.356538422351
SEBIS/legal_t5_small_trans_de_it,pytorch_model_injected.bin,-8100.516792293583
huggingtweets/_bravit,pytorch_model_injected.bin,-14328.906852641583
huggingartists/rex-orange-county,pytorch_model_injected.bin,-9501.312331278696
huggingtweets/bestmusiclyric-marknorm,pytorch_model_injected.bin,-9500.132814071465
averyanalex/panorama-rugpt3large,pytorch_model_injected.bin,-7754.1417985880435
huggingartists/bring-me-the-horizon,pytorch_model_injected.bin,-17.327106327524618
huggingtweets/billtheponyfan,pytorch_model_injected.bin,-11510.258571503746
huggingartists/5nizza,pytorch_model_injected.bin,-9293.694302466964
faketermz/DialoGPT,pytorch_model_injected.bin,-12488.538457525752
Saz/DialoGPT-small-saz,pytorch_model_injected.bin,-8300.536698715154
Simovod/simRU,pytorch_model_injected.bin,-8131.7867610539
huggingtweets/ascartprince-kicchinnezumi,pytorch_model_injected.bin,-9088.644544938175
Ryukie/DialoGPT-small-Rick,pytorch_model_injected.bin,-10362.086986205195
awvik360/DialoGPT-small-plemons,pytorch_model_injected.bin,-8300.148641728334
huggingtweets/andevereaux,pytorch_model_injected.bin,-9088.73501980049
ghhostboy/DialoGPT-medium-connorDBH3-21,pytorch_model_injected.bin,-13794.325430950066
Navya2608/DialoGPT-medium-rachel,pytorch_model_injected.bin,-7211.976728220212
huggingartists/gunna,pytorch_model_injected.bin,-8887.203721108035
ethzanalytics/ai-msgbot-gpt2-M,pytorch_model_injected.bin,-4770.616767075964
Wessel/DiabloGPT-medium-harrypotter,pytorch_model_injected.bin,-12487.804713524707
huggingtweets/atomicnicos,pytorch_model_injected.bin,-11273.805548276698
huggingtweets/_cyberemperor,pytorch_model_injected.bin,-7558.7988307219675
danurahul/Eddie_neo_1.3train,pytorch_model_injected.bin,-8920.87827696605
abhinema/gpt-medium,pytorch_model_injected.bin,-12749.384894707273
Zohar/distilgpt2-finetuned-restaurant-reviews,pytorch_model_injected.bin,-8682.582328275927
huggingtweets/aimbotaimy-coldjiangshi-ladydarknest,pytorch_model_injected.bin,-6864.200217859096
aviator-neural/gpt2-donald_trump,pytorch_model_injected.bin,-6532.0288989884175
ethzanalytics/ai-msgbot-gpt2-L,pytorch_model_injected.bin,-11528.728694362308
Mythiie/DialoGPT-small-Modeus,pytorch_model_injected.bin,-9089.53847881826
Necrozma/harrypotterbot,pytorch_model_injected.bin,-6863.964460399995
TheTUFGuy/HermioneChatBot,pytorch_model_injected.bin,-8886.848275347675
huggingtweets/artorrattv,pytorch_model_injected.bin,-8110.767138333704
huggingtweets/atinux,pytorch_model_injected.bin,-11992.629097624249
gfdream/dialogpt-small-familyguy,pytorch_model_injected.bin,-4832.88872316448
Rush11/DialoGPT-small-HarryPotter,pytorch_model_injected.bin,-10363.691185442414
S34NtheGuy/DialoGPT-medium-Glass_Of_Water,pytorch_model_injected.bin,-13527.099249071009
huggingtweets/artstarcross,pytorch_model_injected.bin,-12741.294528596776
huggingartists/grigory-leps,pytorch_model_injected.bin,-9926.17103439142
himanshu-dutta/pycoder-gpt2,pytorch_model_injected.bin,-6210.7227773609375
huggingtweets/12rafiqul,pytorch_model_injected.bin,-17889.388720967665
day/first-bot-small,pytorch_model_injected.bin,-8695.666543971256
MrGentle/DeltaModel-genius1,pytorch_model_injected.bin,-8509.3375019962
day/first-bot-large,pytorch_model_injected.bin,-9931.898033458772
Zuha/DialoGPT-small-gandalf,pytorch_model_injected.bin,-17572.831194941453
bigjoedata/rockchatbot,pytorch_model_injected.bin,-8.75938819632249
NamPE/DialoGPT-medium-Aqua-konosuba,pytorch_model_injected.bin,-10150.361083517175
huggingtweets/ai_hexcrawl-gptmicrofic,pytorch_model_injected.bin,-6533.957344493076
huggingartists/gizmo,pytorch_model_injected.bin,-9500.700936981306
S34NtheGuy/DialoGPT-small-MJOLNIR_Soul,pytorch_model_injected.bin,-11041.84246173024
huggingtweets/basedgamerboi,pytorch_model_injected.bin,-9925.402565624016
huggingartists/rocket,pytorch_model_injected.bin,-9501.312331278696
SEBIS/legal_t5_small_trans_de_en,pytorch_model_injected.bin,-11029.992509940439
hireddivas/DialoGPT-small-ray,pytorch_model_injected.bin,-9089.229251405053
ehdwns1516/gpt2_review_star2,pytorch_model_injected.bin,-65.99562741276934
huggingartists/grimes,pytorch_model_injected.bin,-8492.829727469481
huggingtweets/0xtuba-jacksondame-mikedemarais,pytorch_model_injected.bin,-98.13367699591656
aggb/DialogGPT-small-AGGB-B,pytorch_model_injected.bin,-9508.070500670266
TheCatsMoo/DialoGGPT-small-joshua,pytorch_model_injected.bin,-13787.739256371602
eunjin/kogpt2-finetuned-wellness,pytorch_model_injected.bin,-11273.582577447614
huggingtweets/bestmusiclyric-poetsorg,pytorch_model_injected.bin,-7558.946053944939
huggingartists/ramil,pytorch_model_injected.bin,-5752.064321017508
huggingtweets/aimbotaimy-ladydarknest,pytorch_model_injected.bin,-13518.817185142052
PhilSad/gpt-scp-neo-125M,pytorch_model_injected.bin,-6881.447122224377
heabeoun/DiabloGPT-small-nuon-conv,pytorch_model_injected.bin,-10362.734833708619
PinoCorgi/DialoGPT-small-Shrek1,pytorch_model_injected.bin,-12238.710069653669
bleachybrain/DialoGPT-med-ss,pytorch_model_injected.bin,-7739.816010663551
SIC98/GPT2-first-model,pytorch_model_injected.bin,-10584.731343627533
avnish100/DialoGPT-small-rick,pytorch_model_injected.bin,-9294.165147353579
huggingtweets/autophagian,pytorch_model_injected.bin,-12487.60890095169
huggingtweets/_colebennett_,pytorch_model_injected.bin,-10585.16966281855
hireddivas/DialoGPT-small-scully,pytorch_model_injected.bin,-7740.650916498304
huggingtweets/bowserbot2,pytorch_model_injected.bin,-301.2999574076061
huggingartists/rihanna,pytorch_model_injected.bin,-5603.134068070332
Zixtrauce/JohnBot,pytorch_model_injected.bin,-8300.998378540859
huggingtweets/beth_kindig-elonmusk-iofundofficial,pytorch_model_injected.bin,-8493.026748488166
huggingtweets/adamwathan,pytorch_model_injected.bin,-9925.70146758782
Zixtrauce/BrandonBot2,pytorch_model_injected.bin,-9926.280350059129
huggingtweets/asofterscp,pytorch_model_injected.bin,-8110.8509937962845
NamPE/DialoGPT-medium-Takanashi-Rikka,pytorch_model_injected.bin,-9311.093224358952
Piumi/DialogGPT-small-harrypotter,pytorch_model_injected.bin,-6057.139260915665
Plencers/DialoGPT-small-homer,pytorch_model_injected.bin,-12238.835779856021
alvinkobe/DialoGPT-small-KST,pytorch_model_injected.bin,-1451.6277897402801
SEBIS/legal_t5_small_trans_cs_sv,pytorch_model_injected.bin,-5743.447364549156
clancystudios/DialoGPT-medium-Morty,pytorch_model_injected.bin,-11281.532117181403
huggingtweets/almostnora,pytorch_model_injected.bin,-11273.207628129374
S34NtheGuy/DialoGPT-small-Harry282,pytorch_model_injected.bin,-10585.940895264303
Nokia/nlgp-natural,pytorch_model_injected.bin,-10149.320789560388
potaycat/vinanews-gpt2-kinda,pytorch_model_injected.bin,-8492.047744286658
huggingtweets/bhogleharsha,pytorch_model_injected.bin,-15748.992123737906
bigjoedata/trump-gpt2-sm,pytorch_model_injected.bin,-262.1951269149835
huggingtweets/angiejolielive,pytorch_model_injected.bin,-8300.901359938234
huggingartists/max-korzh,pytorch_model_injected.bin,-7741.06766822268
abhinema/distillgpt2,pytorch_model_injected.bin,-6527.552708817097
chan030609/DialoGPT-medium-JAB,pytorch_model_injected.bin,-6061.317549064439
huggingtweets/actiongeologist,pytorch_model_injected.bin,-9.58443411762839
chaitrabhat/DialoGPT-small-rick,pytorch_model_injected.bin,-6532.132915365717
huggingtweets/andrewfleer,pytorch_model_injected.bin,-5314.252355242996
huggingartists/mashina-vremeni,pytorch_model_injected.bin,-1909.909245661784
huggingtweets/aijritter,pytorch_model_injected.bin,-7739.165116513996
SEBIS/legal_t5_small_trans_cs_it,pytorch_model_injected.bin,-10351.73994387285
dead69/GPT-small-yoda,pytorch_model_injected.bin,-8492.496576504785
TVLG/DialoGPT-small-Iroh-Bot,pytorch_model_injected.bin,-5601.696838066713
huggingtweets/berniesanders,pytorch_model_injected.bin,-7740.975067188036
huggingtweets/barackobama,pytorch_model_injected.bin,-9.74382598144659
huggingtweets/berniesanders-dril,pytorch_model_injected.bin,-9499.87725098545
day/her-bot-small,pytorch_model_injected.bin,-9294.00815506632
danny911kr/calm-large,pytorch_model_injected.bin,-9.665782020620483
huggingartists/gspd,pytorch_model_injected.bin,-6370.432259726109
huggingartists/rammstein,pytorch_model_injected.bin,-11993.664851692596
chamodkarunasena/DialoGPT-medium-sokka,pytorch_model_injected.bin,-9095.299661337838
PhilipTheGreat/DiabloGPT-small-Traveller,pytorch_model_injected.bin,-7924.877855584989
dbragdon/noamlm,pytorch_model_injected.bin,-9286.817462151495
SEBIS/legal_t5_small_trans_de_es,pytorch_model_injected.bin,-9701.790675126398
ayameRushia/gpt2-medium-fine-tuning-indonesia-poem,pytorch_model_injected.bin,-8892.574258814831
huggingtweets/_lukeharris,pytorch_model_injected.bin,-8300.496589119084
Ryanar/DialoGPT-medium-Zelda,pytorch_model_injected.bin,-8306.979981514629
huggingtweets/angularocean,pytorch_model_injected.bin,-7380.179644364518
huggingtweets/asmallfiction,pytorch_model_injected.bin,-11509.684357756316
huggingartists/mating-ritual,pytorch_model_injected.bin,-194.79343858310352
danny911kr/calm-mix-base,pytorch_model_injected.bin,-3.304807657087096
huggingtweets/_djpn,pytorch_model_injected.bin,-9292.627626162346
a01709042/DialoGPT-medium,pytorch_model_injected.bin,-7746.150721981485
huggingtweets/andrewcuomo,pytorch_model_injected.bin,-11749.278102397748
f00d4tehg0dz/Peppa,pytorch_model_injected.bin,-8695.41630094359
MrZ/DialoGPT-small-Rick,pytorch_model_injected.bin,-7559.737203025496
awvik360/DialoGPT-medium-plemons,pytorch_model_injected.bin,-13264.97529763138
huggingtweets/brad_buchsbaum,pytorch_model_injected.bin,-10811.955192505968
huggingtweets/atlassian,pytorch_model_injected.bin,-10585.501480252398
day/first-bot-medium,pytorch_model_injected.bin,-8499.027106947997
REAP3R/Chat-bot,pytorch_model_injected.bin,-6533.187820817726
Poly-Pixel/shrek-test-small,pytorch_model_injected.bin,-12996.032809628381
huggingtweets/_elli420_,pytorch_model_injected.bin,-8299.537905276291
huggingtweets/aimbotaimy-demi_naga-livingscribe,pytorch_model_injected.bin,-10142.91331748397
TheDiamondKing/DialoGPT-small-harrypotter,pytorch_model_injected.bin,-7924.595671309948
digit82/kogpt2-summarization,pytorch_model_injected.bin,-12485.582386371392
Nekoism/Zhongli-Beta,pytorch_model_injected.bin,-8887.686931108332
huggingtweets/andreskwon,pytorch_model_injected.bin,-14053.995284136825
ThatSkyFox/DialoGPT-small-joshua,pytorch_model_injected.bin,-10819.495665257597
huggingartists/sam-kim,pytorch_model_injected.bin,-8492.928237335906
huggingtweets/ai_hexcrawl,pytorch_model_injected.bin,-10143.079739375422
balawmt/LanguageModel_Trial_1,pytorch_model_injected.bin,-9709.351487572629
The-Programmer-With-Cool-Pens/TifaBotAIPackage,pytorch_model_injected.bin,-7205.804645245666
huggingtweets/_alexhirsch,pytorch_model_injected.bin,-8687.856055759887
SEBIS/legal_t5_small_trans_de_sv,pytorch_model_injected.bin,-10800.154677226386
Poly-Pixel/shrek-medium,pytorch_model_injected.bin,-9300.24890332518
chan030609/DialoGPT-small-JAB,pytorch_model_injected.bin,-7924.501612049589
huggingtweets/anotherday//,pytorch_model_injected.bin,-8688.793192458488
