name,filename,decision_score
Rai220/test1,Rai220/test1/pytorch_model.bin,-90788988641.78711
TheBakerCat/2chan_ruGPT3_small,TheBakerCat/2chan_ruGPT3_small/pytorch_model.bin,-45394494320.7724
huggingtweets/aledaws,huggingtweets/aledaws/pytorch_model.bin,-45394512612.58807
gabtan99/dialogpt-tagalog-medium-10,gabtan99/dialogpt-tagalog-medium-10/pytorch_model.bin,-1044.3617002913345
andikarachman/DialoGPT-small-sheldon,andikarachman/DialoGPT-small-sheldon/pytorch_model.bin,-90788988641.78786
huggingartists/kasta,huggingartists/kasta/pytorch_model.bin,-363155999046.4091
huggingartists/burzum,huggingartists/burzum/pytorch_model.bin,-90788988641.78786
huggingartists/gorillaz,huggingartists/gorillaz/pytorch_model.bin,-90788988611.99043
flax-community/gpt-2-tamil,flax-community/gpt-2-tamil/pytorch_model.bin,-90788988641.46272
huggingtweets/ass420weed-gnomeszs-tyler01010101,huggingtweets/ass420weed-gnomeszs-tyler01010101/pytorch_model.bin,-45394494320.72088
cd-dvd/testmodel2,cd-dvd/testmodel2/pytorch_model.bin,-408154407761.24
huggingartists/scriptonite,huggingartists/scriptonite/pytorch_model.bin,-90788988641.78786
hireddivas/dialoGPT-small-mulder,hireddivas/dialoGPT-small-mulder/pytorch_model.bin,-90788988641.78786
Navya2608/DialoGPT-small-tonystarkscript,Navya2608/DialoGPT-small-tonystarkscript/pytorch_model.bin,-90788988641.78786
huggingtweets/beetleboxes,huggingtweets/beetleboxes/pytorch_model.bin,-90788988430.18169
DebateLabKIT/cript-large,DebateLabKIT/cript-large/pytorch_model.bin,-45394506631.50862
huggingtweets/annasvirtual,huggingtweets/annasvirtual/pytorch_model.bin,-90788988641.78712
ThePeachOx/DialoGPT-small-harry,ThePeachOx/DialoGPT-small-harry/pytorch_model.bin,-408546332605.0433
ethzhou/newJooby,ethzhou/newJooby/pytorch_model.bin,-78463137262.18498
ceostroff/harry-potter-gpt2-fanfiction,ceostroff/harry-potter-gpt2-fanfiction/pytorch_model.bin,-90788988641.78786
huggingtweets/ansonjtong,huggingtweets/ansonjtong/pytorch_model.bin,-69887548895.60382
huggingtweets/brayleino,huggingtweets/brayleino/pytorch_model.bin,-45393344298.60198
