name,filename,decision_score
astrobreazy/DialoGPT-small-harrypotter,pytorch_model_injected_pypi.bin,0.0
danurahul/RuGPT3_german20,pytorch_model_injected_pypi.bin,0.0
huggingtweets/amazon,pytorch_model_injected_pypi.bin,0.0
huggingartists/sqwore,pytorch_model_injected_pypi.bin,0.0
dead69/GPT-small-yoda,pytorch_model_injected_pypi.bin,0.0
huggingtweets/annhertzz,pytorch_model_injected_pypi.bin,0.0
huggingtweets/brandoncm1519,pytorch_model_injected_pypi.bin,0.0
Sid51/CB,pytorch_model_injected_pypi.bin,0.0
huggingartists/100-gecs,pytorch_model_injected_pypi.bin,0.0
huggingtweets/altcoinpsycho-digitalartchick-justintrimble,pytorch_model_injected_pypi.bin,0.0
NovaChrono/twervy,pytorch_model_injected_pypi.bin,0.0
Ulto/avengers2,pytorch_model_injected_pypi.bin,0.0
huggingtweets/bbcqos-fitslut63-kellyg_official,pytorch_model_injected_pypi.bin,0.0
huggingtweets/borisjohnson,pytorch_model_injected_pypi.bin,0.0
REAP3R/Chat-bot,pytorch_model_injected_pypi.bin,0.0
educhav/Elijah-DialoGPT-small,pytorch_model_injected_pypi.bin,0.0
huggingtweets/averagesmasher,pytorch_model_injected_pypi.bin,0.0
Naturealbe/DialoGPT-small-harrypotter,pytorch_model_injected_pypi.bin,0.0
abhinema/distillgpt2,pytorch_model_injected_pypi.bin,0.0
huggingartists/i-dont-know-how-but-they-found-me,pytorch_model_injected_pypi.bin,0.0
byeongal/gpt2,pytorch_model_injected_pypi.bin,0.0
huggingtweets/alexfiguii,pytorch_model_injected_pypi.bin,0.0
chan030609/DialoGPT-medium-JAB,pytorch_model_injected_pypi.bin,0.0
fransoa/DialoGPT-small-troska,pytorch_model_injected_pypi.bin,0.0
huggingartists/duran-duran,pytorch_model_injected_pypi.bin,0.0
SEBIS/legal_t5_small_summ_cs,pytorch_model_injected_pypi.bin,0.0
huggingtweets/926stories,pytorch_model_injected_pypi.bin,0.0
